instance,2013_INDU-GlucoRed,2013_INDU-Lingeling,2013_INDU-Lingeling_aqw,2013_INDU-Nigma,2013_INDU-Nigma-NoPB,2013_INDU-RSeq,2013_INDU-Riss3g_3g,2013_INDU-SAT4J,2013_INDU-Solver43a,2013_INDU-Solver43b,2013_INDU-ZENN,2013_INDU-forl,2013_INDU-gluH,2013_INDU-gluH_simp,2013_INDU-glucose,2013_INDU-glue_bit,2013_INDU-gluebit_lgl,2013_INDU-glueminisat,2013_INDU-minipure,2013_INDU-relback,2013_INDU-satUZK,2013_INDU-sattimeRelbackShr,2013_INDU-strangenight
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/satelite/simon03:sat02bis:dp12u11.used-as.sat04-358.cnf,SAT:583.327:583.327:5000.0:0,SAT:1784.86:1784.86:5000.0:0,SAT:606.945:606.945:5000.0:0,SAT:808.293:808.293:5000.0:0,SAT:679.92:679.92:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:800.648:800.648:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:372.123:372.123:5000.0:0,SAT:782.456:782.456:5000.0:0,SAT:598.438:598.438:5000.0:0,SAT:574.182:574.182:5000.0:0,SAT:502.72:502.72:5000.0:0,SAT:1910.95:1910.95:5000.0:0,SAT:664.039:664.039:5000.0:0,SAT:185.558:185.558:5000.0:0,SAT:497.818:497.818:5000.0:0,SAT:449.555:449.555:5000.0:0,SAT:425.705:425.705:5000.0:0,SAT:624.326:624.326:5000.0:0,SAT:2750.01:2750.01:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1149.92:1149.92:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/satelite/simon03:sat02bis:k2fix_gr_2pin_w8.used-as.sat04-351.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:10.5324:10.5324:5000.0:0,SAT:6.04708:6.04708:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:94.3177:94.3177:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:8.95264:8.95264:5000.0:0,SAT:16.4955:16.4955:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/satelite/simon03:sat02bis:k2fix_gr_2pin_w9.used-as.sat04-352.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:499.112:499.112:5000.0:0,SAT:179.425:179.425:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:33.3969:33.3969:5000.0:0,SAT:17.1754:17.1754:5000.0:0,SAT:1786.41:1786.41:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:952.308:952.308:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:7.48086:7.48086:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:17.2694:17.2694:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/satelite/simon03:sat02bis:k2fix_gr_2pinvar_w8.used-as.sat04-349.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:5.36218:5.36218:5000.0:0,SAT:4.75328:4.75328:5000.0:0,SAT:21.2298:21.2298:5000.0:0,SAT:4.84026:4.84026:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:8.69968:8.69968:5000.0:0,SAT:42.9015:42.9015:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:14.4088:14.4088:5000.0:0,SAT:3536.09:3536.09:5000.0:0,SAT:742.755:742.755:5000.0:0,SAT:6.24805:6.24805:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:2.50862:2.50862:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:6.572:6.572:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/satelite/simon03:sat02bis:k2fix_gr_2pinvar_w9.used-as.sat04-350.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:28.9626:28.9626:5000.0:0,SAT:79.7139:79.7139:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:33.4489:33.4489:5000.0:0,SAT:3838.82:3838.82:5000.0:0,SAT:142.817:142.817:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:24.2013:24.2013:5000.0:0,SAT:14.0789:14.0789:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:39.555:39.555:5000.0:0,SAT:74.5627:74.5627:5000.0:0,SAT:130.125:130.125:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/satelite/simon03:sat02bis:k2fix_gr_rcs_w8.used-as.sat04-353.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:19.3671:19.3671:5000.0:0,SAT:8.37073:8.37073:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1808.09:1808.09:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:2946.49:2946.49:5000.0:0,SAT:4882.51:4882.51:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:9.77651:9.77651:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/satelite/tip_bmc:sat_nusmv.tcas-t^5.B.cnf,SAT:0.927858:0.927858:5000.0:0,SAT:3.82842:3.82842:5000.0:0,SAT:1.13383:1.13383:5000.0:0,SAT:0.769882:0.769882:5000.0:0,SAT:0.97685:0.97685:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1.21381:1.21381:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:4.14437:4.14437:5000.0:0,SAT:3.41748:3.41748:5000.0:0,SAT:0.641902:0.641902:5000.0:0,SAT:8.73267:8.73267:5000.0:0,SAT:1.04184:1.04184:5000.0:0,SAT:0.526919:0.526919:5000.0:0,SAT:0.601908:0.601908:5000.0:0,SAT:0.948855:0.948855:5000.0:0,SAT:2.25766:2.25766:5000.0:0,SAT:0.721889:0.721889:5000.0:0,SAT:0.6509:0.6509:5000.0:0,SAT:0.91886:0.91886:5000.0:0,SAT:1.10083:1.10083:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:7.99878:7.99878:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/softveri/c32sat/coll400_16bit.cnf,SAT:35.1407:35.1407:5000.0:0,SAT:28.3747:28.3747:5000.0:0,SAT:31.8462:31.8462:5000.0:0,SAT:57.9302:57.9302:5000.0:0,SAT:146.912:146.912:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:16.9894:16.9894:5000.0:0,SAT:610.332:610.332:5000.0:0,SAT:157.097:157.097:5000.0:0,SAT:105.04:105.04:5000.0:0,SAT:82.5754:82.5754:5000.0:0,SAT:268.339:268.339:5000.0:0,SAT:143.166:143.166:5000.0:0,SAT:17.3024:17.3024:5000.0:0,SAT:31.3852:31.3852:5000.0:0,SAT:82.9204:82.9204:5000.0:0,SAT:112.126:112.126:5000.0:0,SAT:29.1936:29.1936:5000.0:0,SAT:20.8878:20.8878:5000.0:0,SAT:93.8787:93.8787:5000.0:0,SAT:89.7524:89.7524:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:195.847:195.847:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/softveri/c32sat/gcdmax16bits_22.cnf,SAT:63.1674:63.1674:5000.0:0,SAT:55.3506:55.3506:5000.0:0,SAT:43.4:43.4:5000.0:0,SAT:118.373:118.373:5000.0:0,SAT:156.984:156.984:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:50.2994:50.2994:5000.0:0,SAT:1845.1:1845.1:5000.0:0,SAT:233.672:233.672:5000.0:0,SAT:126.04:126.04:5000.0:0,SAT:69.1685:69.1685:5000.0:0,SAT:109.469:109.469:5000.0:0,SAT:51.6801:51.6801:5000.0:0,SAT:26.6769:26.6769:5000.0:0,SAT:32.0811:32.0811:5000.0:0,SAT:54.0908:54.0908:5000.0:0,SAT:176.09:176.09:5000.0:0,SAT:25.4691:25.4691:5000.0:0,SAT:58.1952:58.1952:5000.0:0,SAT:44.1733:44.1733:5000.0:0,SAT:104.435:104.435:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:37.5833:37.5833:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/softveri/c32sat/gcdmax16bits_23.cnf,SAT:67.2458:67.2458:5000.0:0,SAT:70.8732:70.8732:5000.0:0,SAT:49.9744:49.9744:5000.0:0,SAT:109.853:109.853:5000.0:0,SAT:127.287:127.287:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:60.2418:60.2418:5000.0:0,SAT:2456.32:2456.32:5000.0:0,SAT:322.621:322.621:5000.0:0,SAT:180.798:180.798:5000.0:0,SAT:73.8238:73.8238:5000.0:0,SAT:101.562:101.562:5000.0:0,SAT:57.8352:57.8352:5000.0:0,SAT:47.9797:47.9797:5000.0:0,SAT:37.0614:37.0614:5000.0:0,SAT:43.6884:43.6884:5000.0:0,SAT:118.006:118.006:5000.0:0,SAT:29.6345:29.6345:5000.0:0,SAT:166.103:166.103:5000.0:0,SAT:51.3642:51.3642:5000.0:0,SAT:95.7804:95.7804:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:46.4529:46.4529:5000.0:0
