instance,2007_INDU-minisat-sat07,2007_INDU-mxc,2007_INDU-picosat-535
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/diagnosis/UTI-10-10p1.cnf,SAT:416.198:416.198:5000.0:0,SAT:798.249:798.249:5000.0:0,SAT:29.8845:29.8845:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/fuhs/AProVE11/AProVE11-01.cnf,SAT:1.3378:1.3378:5000.0:0,SAT:1.03684:1.03684:5000.0:0,SAT:5.72613:5.72613:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/fuhs/AProVE11/AProVE11-05.cnf,SAT:4.25135:4.25135:5000.0:0,SAT:6.15006:6.15006:5000.0:0,SAT:6.97794:6.97794:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/fuhs/AProVE11/AProVE11-08.cnf,SAT:4.78427:4.78427:5000.0:0,SAT:6.41602:6.41602:5000.0:0,SAT:17.8823:17.8823:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/fuhs/AProVE11/AProVE11-14.cnf,SAT:2.13667:2.13667:5000.0:0,SAT:1.14982:1.14982:5000.0:0,SAT:7.42587:7.42587:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top27.cnf,SAT:4160.78:4160.78:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtswvrod6x8p2-tseitin.cnf,SAT:40.1099:40.1099:5000.0:0,SAT:58.3531:58.3531:5000.0:0,SAT:45.834:45.834:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_eventlogadm_vc331235-tseitin.cnf,SAT:8.25474:8.25474:5000.0:0,SAT:37.1623:37.1623:5000.0:0,SAT:34.5427:34.5427:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_eventlogadm_vc344392-tseitin.cnf,SAT:3.75043:3.75043:5000.0:0,SAT:3.32049:3.32049:5000.0:0,SAT:7.32788:7.32788:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_eventlogadm_vc352372-tseitin.cnf,SAT:188.944:188.944:5000.0:0,SAT:376.35:376.35:5000.0:0,SAT:27.6478:27.6478:5000.0:0
