instance,2009_INDU-clasp-1.2.0-SAT09,2009_INDU-kw,2009_INDU-manysat,2009_INDU-minisat,2009_INDU-minisat-cumrp,2009_INDU-minisat09z,2009_INDU-precosat-236-3e7a3f8-090322
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/diagnosis/UCG-15-5p1.cnf,SAT:175.924:175.924:5000.0:0,SAT:56.0805:56.0805:5000.0:0,SAT:190.187:190.187:5000.0:0,SAT:27.8298:27.8298:5000.0:0,SAT:173.861:173.861:5000.0:0,SAT:119.786:119.786:5000.0:0,SAT:37.4893:37.4893:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/diagnosis/UCG-20-10p0.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1346.6:1346.6:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1418.54:1418.54:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:3235.69:3235.69:5000.0:0,SAT:2652.32:2652.32:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/diagnosis/UCG-20-5p0.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:303.664:303.664:5000.0:0,SAT:632.219:632.219:5000.0:0,SAT:393.667:393.667:5000.0:0,SAT:607.798:607.798:5000.0:0,SAT:654.462:654.462:5000.0:0,SAT:112.627:112.627:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/diagnosis/UR-15-5p1.cnf,SAT:666.089:666.089:5000.0:0,SAT:181.938:181.938:5000.0:0,SAT:305.8:305.8:5000.0:0,SAT:45.2671:45.2671:5000.0:0,SAT:185.304:185.304:5000.0:0,SAT:130.39:130.39:5000.0:0,SAT:64.6732:64.6732:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2009unselected/application/SAT09/APPLICATIONS/diagnosis/UTI-10-10p1.cnf,SAT:378.933:378.933:5000.0:0,SAT:71.2952:71.2952:5000.0:0,SAT:251.208:251.208:5000.0:0,SAT:42.1706:42.1706:5000.0:0,SAT:142.457:142.457:5000.0:0,SAT:81.2626:81.2626:5000.0:0,SAT:291.227:291.227:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/fuhs/AProVE11/AProVE11-01.cnf,SAT:6.85596:6.85596:5000.0:0,SAT:7.07392:7.07392:5000.0:0,SAT:3.49047:3.49047:5000.0:0,SAT:2.42163:2.42163:5000.0:0,SAT:1.84972:1.84972:5000.0:0,SAT:8.32:8.32:5000.0:0,SAT:7.8708:7.8708:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/fuhs/AProVE11/AProVE11-05.cnf,SAT:15.1557:15.1557:5000.0:0,SAT:9.70852:9.70852:5000.0:0,SAT:21.7647:21.7647:5000.0:0,SAT:1.07184:1.07184:5000.0:0,SAT:5.43417:5.43417:5000.0:0,SAT:7.28089:7.28089:5000.0:0,SAT:6.70698:6.70698:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/fuhs/AProVE11/AProVE11-08.cnf,SAT:6.93394:6.93394:5000.0:0,SAT:8.98163:8.98163:5000.0:0,SAT:14.4088:14.4088:5000.0:0,SAT:3.85541:3.85541:5000.0:0,SAT:3.83342:3.83342:5000.0:0,SAT:25.9001:25.9001:5000.0:0,SAT:19.858:19.858:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/fuhs/AProVE11/AProVE11-14.cnf,SAT:5.58015:5.58015:5000.0:0,SAT:17.5033:17.5033:5000.0:0,SAT:5.56415:5.56415:5000.0:0,SAT:5.57315:5.57315:5000.0:0,SAT:6.71398:6.71398:5000.0:0,SAT:5.9211:5.9211:5000.0:0,SAT:23.8624:23.8624:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATCompetition2011unselected/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top27.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:525.732:525.732:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1294.96:1294.96:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
