instance,2011_INDU-LR_GL_SHR,2011_INDU-RestartSAT,2011_INDU-cir_minisat,2011_INDU-contrasat,2011_INDU-ebminisat,2011_INDU-glueminisat,2011_INDU-minisat,2011_INDU-minisat-2.2.0-agile-26,2011_INDU-rcl
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/anbulagan/hard-sat/partial-10-19-s.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,SAT:2378.09:2378.09:5000.0:0,SAT:1603.84:1603.84:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:3565.79:3565.79:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:1112.86:1112.86:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/anbulagan/hard-sat/partial-5-19-s.cnf,SAT:1454.7:1454.7:5000.0:0,SAT:3004.55:3004.55:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:905.655:905.655:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:253.344:253.344:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/anbulagan/hard-unsat/dated-10-11-u.cnf,SAT:3744.43:3744.43:5000.0:0,SAT:1718.14:1718.14:5000.0:0,SAT:1350.85:1350.85:5000.0:0,SAT:1615.55:1615.55:5000.0:0,SAT:1253.65:1253.65:5000.0:0,SAT:385.974:385.974:5000.0:0,SAT:1296.13:1296.13:5000.0:0,SAT:1640.27:1640.27:5000.0:0,SAT:2953.45:2953.45:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,SAT:1982.19:1982.19:5000.0:0,SAT:294.819:294.819:5000.0:0,SAT:527.572:527.572:5000.0:0,SAT:666.978:666.978:5000.0:0,SAT:483.177:483.177:5000.0:0,SAT:219.987:219.987:5000.0:0,SAT:487.646:487.646:5000.0:0,SAT:415.992:415.992:5000.0:0,SAT:320.38:320.38:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/anbulagan/hard-unsat/partial-10-19-u.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/anbulagan/medium-sat/partial-5-11-s.cnf,SAT:23.6454:23.6454:5000.0:0,SAT:203.302:203.302:5000.0:0,SAT:617.061:617.061:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:489.264:489.264:5000.0:0,SAT:51.6951:51.6951:5000.0:0,SAT:682.472:682.472:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:28.6576:28.6576:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/anbulagan/medium-sat/partial-5-13-s.cnf,SAT:38.7541:38.7541:5000.0:0,SAT:94.4836:94.4836:5000.0:0,SAT:2093.32:2093.32:5000.0:0,SAT:550.585:550.585:5000.0:0,SAT:315.888:315.888:5000.0:0,SAT:34.0108:34.0108:5000.0:0,SAT:388.808:388.808:5000.0:0,SAT:466.753:466.753:5000.0:0,SAT:18.6472:18.6472:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/anbulagan/medium-sat/partial-5-15-s.cnf,SAT:509.75:509.75:5000.0:0,SAT:270.875:270.875:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:84.7731:84.7731:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:292.046:292.046:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATCompetition2007/industrial/anbulagan/medium-sat/total-10-15-s.cnf,SAT:49.8974:49.8974:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:273.22:273.22:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:3207.61:3207.61:5000.0:0
