Year,Average,Best
2007,0.4869888475836432,0.511152416357
2009,0.6317047265002655,0.723977695167
2011,0.6572697232548533,0.778810408922
2013,0.7067641829642801,0.831784386617
2014,0.7235990637477625,0.828996282528
